Species,Tag,Grazer_Wetmass,Grazer_Buoyant,Shell_L,Shell_W,Real_L,Fake_L,Dissected_gonad_wet_weight,Dissected_nongonad_wet_weight,Dissected_sum_wet_tissue_weight,Dissected_nongonad_dry_weight,Dissected_gonad_dry_weight,Dissected_shell_dry_weight,Dissected_tissue_dry_weight,Dissected_total_dry_weight,Length_imageJ,Width_imageJ,Area_imageJ
Ab,41,25.864,4.31,55.1,38.24,NA,NA,3.4178,6.1659,9.5837,1.4605,0.7378,6.0022,2.1983,8.2005,5.56,3.892,16.943
Ab,71,25.7223,5.32,57.65,40.77,NA,NA,3.7243,6.4203,10.1446,1.608,0.8184,7.6138,2.4264,10.0402,5.801,4.271,19.531
Ab,54,22.2809,4.33,55.06,39.84,NA,NA,2.3685,5.2659,7.6344,1.1977,0.5054,6.3819,1.7031,8.085,5.587,4.162,18.258
Ab,68,18.5967,3.7,51.03,35.1,NA,NA,2.4847,4.6989,7.1836,1.0607,0.5619,5.3221,1.6226,6.9447,5.167,3.644,14.955
Ab,24,22.5756,3.78,53.73,36.16,NA,NA,2.9724,5.0443,8.0167,1.2029,0.6799,5.3825,1.8828,7.2653,5.416,3.762,15.965
Ab,45,25.1785,4.7,56.24,38.24,NA,NA,2.6666,5.3678,8.0344,1.274,0.61557,6.8418,1.88957,8.73137,5.656,4.006,17.91
Ab,65,21.1182,3.64,51.42,36.73,NA,NA,3.1926,5.2993,8.4919,1.2764,0.676,5.2909,1.9524,7.2433,5.208,3.801,15.571
Ab,33,21.7636,3.65,53.95,38.5,NA,NA,3.113,5.3646,8.4776,1.1676,0.6591,5.4665,1.8267,7.2932,5.453,3.932,16.794
Ab,30,24.8674,5.37,57.27,39.26,NA,NA,2.9447,7.1538,10.0985,1.6693,0.7025,7.6045,2.3718,9.9763,5.825,4.037,18.49
Ab,25,21.3571,4.5,54,36.39,NA,NA,2.746,5.3451,8.0911,1.2782,0.6262,6.5046,1.9044,8.409,5.458,3.792,16.269
Ab,74,31.7041,5.8614,59.7,42.61,NA,NA,4.4919,7.9552,12.4471,1.864,0.996,8.2656,2.86,11.1256,6.043,4.4,20.893
Ab,47,23.8639,4.61,53.1,36.89,NA,NA,3.3753,5.4978,8.8731,1.3012,0.6806,6.6308,1.9818,8.6126,5.349,3.886,16.252
Ab,34,28.9183,4.67,57.72,38.76,NA,NA,3.889,6.5162,10.4052,1.4845,0.8396,6.5538,2.3241,8.8779,5.857,3.981,18.842
Ab,53,24.5339,4.7324,55.24,36.46,NA,NA,3.5294,5.7954,9.3248,1.2949,0.7906,6.8835,2.0855,8.969,5.592,3.866,16.975
Ab,51,17.9294,3.51,53.29,36.53,NA,NA,2.6364,3.8567,6.4931,0.8648,0.5029,5.1137,1.3677,6.4814,5.37,3.79,16.228
Ab,27,25.5841,4.85,57.49,38.3,NA,NA,2.8565,6.4655,9.322,1.5202,0.7177,6.8359,2.2379,9.0738,5.868,4.068,18.568
Ab,44,38.7064,7.5,65.31,47.52,NA,NA,5.2919,11.4599,16.7518,2.7256,1.3128,10.5892,4.0384,14.6276,6.658,4.911,25.771
Ab,48,22.7327,4.18,55.29,38.24,NA,NA,3.5018,6.751,10.2528,1.4669,0.7468,5.8007,2.2137,8.0144,5.575,3.92,17.201
Ab,32,22.5861,3.88,53.67,36.04,NA,NA,3.3158,6.1542,9.47,1.4344,0.7462,5.3212,2.1806,7.5018,5.417,3.723,16.156
Ab,29,32.0432,6.89,61.98,41.85,NA,NA,5.1601,9.2943,14.4544,2.1652,1.0789,9.8659,3.2441,13.11,6.29,4.515,21.961
Teg,10,0.7693,0.355,NA,NA,9.3,12.46,NA,NA,0.0849,NA,NA,0.5884,0.0294,0.6178,NA,NA,NA
Teg,7,0.6063,0.2645,NA,NA,8.67,11.53,NA,NA,0.0782,NA,NA,0.4912,0.025,0.5162,NA,NA,NA
Teg,12,0.205,0.0788,NA,NA,6.83,8.01,NA,NA,0.0122,NA,NA,0.1567,0.0072,0.1639,NA,NA,NA
Teg,3,0.7594,0.3349,NA,NA,9.99,12.43,NA,NA,0.1113,NA,NA,0.5847,0.0284,0.6131,NA,NA,NA
Teg,17,0.7572,0.3578,NA,NA,9.26,11.85,NA,NA,0.0968,NA,NA,0.5654,0.0457,0.6111,NA,NA,NA
Teg,8,0.3619,0.1537,NA,NA,7.91,9.71,NA,NA,0.0503,NA,NA,0.2818,0.0145,0.2963,NA,NA,NA
Teg,5,0.3995,0.1807,NA,NA,8.21,9.64,NA,NA,0.0522,NA,NA,0.3224,0.02,0.3424,NA,NA,NA
Teg,36,0.3277,0.1306,NA,NA,7.38,9.8,NA,NA,0.045,NA,NA,0.2504,0.0143,0.2647,NA,NA,NA
Teg,16,0.6475,0.2855,NA,NA,8.92,12.52,NA,NA,0.1309,NA,NA,0.503,0.0319,0.5349,NA,NA,NA
Teg,18,0.6631,0.2869,NA,NA,9.63,11.96,NA,NA,0.0914,NA,NA,0.5218,0.0234,0.5452,NA,NA,NA
Teg,14,0.5176,0.2576,NA,NA,8.18,11,NA,NA,0.0796,NA,NA,0.4152,0.0186,0.4338,NA,NA,NA
Teg,2,0.2371,0.0908,NA,NA,6.23,8.44,NA,NA,0.0372,NA,NA,0.1809,0.0138,0.1947,NA,NA,NA
Teg,13,0.2265,0.0768,NA,NA,6.48,8.77,NA,NA,0.0558,NA,NA,0.1554,0.0286,0.184,NA,NA,NA
Teg,22,0.1924,0.0781,NA,NA,5.54,8.19,NA,NA,0.0284,NA,NA,0.1455,0.012,0.1575,NA,NA,NA
Teg,20,0.2322,0.0759,NA,NA,6.36,9.18,NA,NA,0.0391,NA,NA,0.1715,0.0122,0.1837,NA,NA,NA
Teg,19,0.4473,0.2,NA,NA,7.78,10.75,NA,NA,0.0606,NA,NA,0.3376,0.0185,0.3561,NA,NA,NA
Teg,23,0.279,0.1074,NA,NA,7.19,9.02,NA,NA,0.0166,NA,NA,0.2139,0.0111,0.225,NA,NA,NA
Teg,1,0.229,0.0989,NA,NA,6.08,8.71,NA,NA,0.0391,NA,NA,0.1621,0.0201,0.1822,NA,NA,NA
Teg,21,0.4134,0.1814,NA,NA,7.78,10.27,NA,NA,0.0546,NA,NA,0.3197,0.0159,0.3356,NA,NA,NA
Teg,15,0.4332,0.188,NA,NA,8.39,10.38,NA,NA,0.0633,NA,NA,0.3157,0.0165,0.3322,NA,NA,NA